"행정구역별(시군구)","연령별",2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"서울특별시","20세 미만",12806,5010,7796,14185,5345,8840,10687,4021,6666,12872,5074,7798,12508,4966,7542
"서울특별시","20~24",116592,41263,75329,123990,42602,81388,126833,43490,83343,129586,45438,84148,132540,47317,85223
"서울특별시","25~29",216707,106618,110089,238517,114318,124199,263071,124539,138532,275723,128491,147232,283426,129889,153537
"서울특별시","30~34",166340,92561,73779,183573,102247,81326,204717,113310,91407,224798,123488,101310,240530,130881,109649
"서울특별시","35~39",121980,68322,53658,126485,70540,55945,131942,73811,58131,133594,74784,58810,136268,76295,59973
"서울특별시","40~44",85728,48156,37572,91518,51144,40374,99293,55555,43738,104993,58515,46478,109198,60636,48562
"서울특별시","45~49",90140,52545,37595,90186,52330,37856,89640,51706,37934,88732,50424,38308,86783,49170,37613
"서울특별시","50~54",78665,46217,32448,82704,48793,33911,89413,52407,37006,93831,54610,39221,96608,56124,40484
"서울특별시","55~59",84285,44855,39430,84976,46352,38624,86500,47858,38642,86408,47565,38843,88560,49124,39436
"서울특별시","60~64",88456,38575,49881,94834,42318,52516,102413,46587,55826,104578,48900,55678,106711,51605,55106
"서울특별시","65~69",67696,25180,42516,77047,28985,48062,88494,34324,54170,95561,37618,57943,104700,42435,62265
"서울특별시","70~74",61035,18463,42572,65469,20181,45288,69402,21800,47602,73327,23678,49649,77112,25664,51448
"서울특별시","75~79",51747,12486,39261,54109,13245,40864,57061,14397,42664,60023,15313,44710,64818,17197,47621
"서울특별시","80~84",35227,7167,28060,37968,7863,30105,42020,8983,33037,47777,10413,37364,51315,11495,39820
"서울특별시","85세 이상",22383,4143,18240,25140,4736,20404,28407,5536,22871,32384,6328,26056,36403,7286,29117
"부산광역시","합계",423227,191796,231431,455207,206311,248896,487362,222040,265322,511745,233037,278708,532509,241800,290709
"부산광역시","20세 미만",4781,2272,2509,4873,2210,2663,3274,1421,1853,3522,1537,1985,3386,1418,1968
"부산광역시","20~24",32388,13845,18543,36543,15362,21181,36967,15261,21706,37333,15748,21585,38614,16522,22092
"부산광역시","25~29",41339,22413,18926,46740,24621,22119,53212,27603,25609,55655,28244,27411,55974,27933,28041
"부산광역시","30~34",29525,17794,11731,33655,20296,13359,39647,23882,15765,44373,26508,17865,47227,27809,19418
"부산광역시","35~39",26674,16279,10395,27809,16917,10892,28877,17613,11264,29233,17916,11317,29186,17865,11321
"부산광역시","40~44",22725,13804,8921,24544,15010,9534,27218,16675,10543,29017,17711,11306,29902,18162,11740
"부산광역시","45~49",28559,16921,11638,28650,16979,11671,28461,16909,11552,28358,16836,11522,27595,16604,10991
"부산광역시","50~54",30209,17447,12762,31838,18453,13385,33971,19704,14267,35480,20546,14934,36185,20888,15297
"부산광역시","55~59",37779,18909,18870,37611,19225,18386,37536,19675,17861,37476,19701,17775,38524,20390,18134
"부산광역시","60~64",44513,18714,25799,46987,20026,26961,50051,21576,28475,50689,22336,28353,51376,23135,28241
"부산광역시","65~69",36399,13056,23343,41298,15015,26283,46192,17234,28958,49803,18857,30946,53910,20993,32917
"부산광역시","70~74",31214,8830,22384,34080,9789,24291,36853,10800,26053,39553,11967,27586,41628,13047,28581
"부산광역시","75~79",27926,6147,21779,28761,6395,22366,29123,6723,22400,30608,7289,23319,33398,8219,25179
"부산광역시","80~84",18886,3493,15393,20250,3872,16378,22651,4490,18161,25442,5042,20400,27704,5563,22141
"부산광역시","85세 이상",10310,1872,8438,11568,2141,9427,13329,2474,10855,15203,2799,12404,17900,3252,14648
"대구광역시","합계",284416,131500,152916,304543,140952,163591,326866,152723,174143,341667,159344,182323,359048,166945,192103
"대구광역시","20세 미만",3693,1651,2042,2757,1219,1538,2039,905,1134,2485,1070,1415,2487,1008,1479
"대구광역시","20~24",20916,9273,11643,21684,9202,12482,22083,9598,12485,22337,10021,12316,22708,9908,12800
"대구광역시","25~29",27730,15620,12110,31704,17456,14248,35514,19419,16095,36202,19339,16863,36340,19211,17129
"대구광역시","30~34",21138,13678,7460,23990,15489,8501,27563,17687,9876,30287,19356,10931,33032,20702,12330
"대구광역시","35~39",19196,12020,7176,19702,12459,7243,20654,13353,7301,20521,13407,7114,20777,13828,6949
"대구광역시","40~44",17148,10527,6621,18143,11244,6899,19357,11959,7398,20199,12578,7621,20812,12987,7825
"대구광역시","45~49",21858,13102,8756,21874,13208,8666,21873,13274,8599,21323,12841,8482,20674,12507,8167
"대구광역시","50~54",22983,13068,9915,24351,13982,10369,26009,14920,11089,26898,15363,11535,27303,15637,11666
